
randomized dictionary size: 256
neuron num 		 error 		 order
4 		 0.5432492909703018 		 * 
8 		 0.13466518620449042 		 2.012237454597351 
16 		 0.03416093042041537 		 1.9789577574454655 
32 		 0.009349498657715151 		 1.8693863578395793 
64 		 0.002534909009134313 		 1.8829550439008236 
128 		 0.0007074635766627042 		 1.8412061837633928 
256 		 0.00026135114456378146 		 1.436666396104347 
512 		 0.00012827654903779993 		 1.026732030179929 



randomized dictionary size: 1024
neuron num 		 error 		 order
4 		 0.5467499914630318 		 * 
8 		 0.1368016897512991 		 1.9987952424884574 
16 		 0.03489593428038783 		 1.9709551870838062 
32 		 0.01045201939784784 		 1.7392772507989942 
64 		 0.004559089578948357 		 1.1969640459781676 
128 		 0.0006065672560481005 		 2.910006231126112 
256 		 0.0002961962341980058 		 1.0341143214351671 
512 		 7.483200327962541e-05 		 1.9848259962880577 



randomized dictionary size: 1024
neuron num 		 error 		 order
4 		 0.5461365061433137 		 * 
8 		 0.1359055559647208 		 2.0066571598273546 
16 		 0.03472346273640205 		 1.9686217059287223 
32 		 0.009779925269367974 		 1.828015478816817 
64 		 0.003801418096635893 		 1.3632857334040527 
128 		 0.0005508698973080563 		 2.786754174820074 
256 		 0.00014746412138642585 		 1.9013476442564945 
512 		 7.749095425854254e-05 		 0.9282641682694501 


randomized dictionary size: 2048
neuron num 		 error 		 order
4 		 0.5425287723414414 		 * 
8 		 0.13409444515044266 		 2.0164501761543443 
16 		 0.033358034451166856 		 2.00714328620976 
32 		 0.008373451543209367 		 1.994139953155194 
64 		 0.0021493669066500005 		 1.9619106470307142 
128 		 0.0006019714444633284 		 1.8361448213211864 
256 		 0.00019308430383128776 		 1.6404641621287512 
512 		 7.03913177172489e-05 		 1.4557614913107617 

