
randomized dictionary size: 1024
neuron num 		 error 		 order
4 		 0.2829393643790451 		 * 
8 		 0.05934171912706176 		 2.253374280539211 
16 		 0.012435478183130944 		 2.2545847374673933 
32 		 0.003173014794838248 		 1.9705358315216293 
64 		 0.0008401443507994896 		 1.9171451147852785 
128 		 0.0002540281326456192 		 1.7256489494258658 
256 		 4.784471085009178e-05 		 2.408556927610622 
512 		 1.3275470259374038e-05 		 1.8495964793075617 


randomized dictionary size: 1024
neuron num 		 error 		 order
4 		 0.280665355405083 		 * 
8 		 0.05923614852009885 		 2.244301246266846 
16 		 0.012454883061943154 		 2.2497663646953807 
32 		 0.003158006888660177 		 1.9796252529654421 
64 		 0.0008842624395886879 		 1.8364678035337074 
128 		 0.0001908350459423215 		 2.212148469841725 
256 		 4.599786071922271e-05 		 2.052687469113079 
512 		 1.2674496637878533e-05 		 1.859638313123808 

randomized dictionary size: 4096
neuron num 		 error 		 order
4 		 0.28097643185393023 		 * 
8 		 0.058904830947280565 		 2.253991259656614 
16 		 0.012366257065547944 		 2.251977057021425 
32 		 0.003007399022890781 		 2.0398206982042724 
64 		 0.0007779016066253876 		 1.9508567062869526 
128 		 0.0001986154027910385 		 1.9696101771452375 
256 		 5.5139242827881916e-05 		 1.8488261479074752 
512 		 1.5608233351500432e-05 		 1.8207722041056997 

randomized dictionary size: 16384
neuron num 		 error 		 order
4 		 0.2818517685321995 		 * 
8 		 0.05904342194819593 		 2.255088377527257 
16 		 0.012385346924266067 		 2.253142057045787 
32 		 0.003006137045764751 		 2.0426515938823004 
64 		 0.00075721626234581 		 1.9891334807802488 
128 		 0.00018499754302944355 		 2.0331992851026115 
256 		 4.6018796910970426e-05 		 2.0072109381180976 
512 		 1.1665347590276412e-05 		 1.979993971374659 



randomized dictionary size: 64
neuron num 		 error 		 order
4 		 0.35450611370101776 		 * 
8 		 0.09789285056416712 		 1.856535103904515 
16 		 0.016872546649311124 		 2.536525756419401 
32 		 0.0033254268992541328 		 2.3430662799685416 
64 		 0.0008029743562388288 		 2.0501137376946788 
128 		 0.00027871776999711966 		 1.5265489284338 
256 		 6.104351586731911e-05 		 2.190895022926369 
512 		 2.157398135588691e-05 		 1.500545615892165 

randomized dictionary size: 128
neuron num 		 error 		 order
4 		 0.301775690669597 		 * 
8 		 0.08030115664469263 		 1.9099839219041221 
16 		 0.015739767492470202 		 2.3510065386944596 
32 		 0.0036996935819943655 		 2.088936536400754 
64 		 0.0007800350093767029 		 2.245795006733653 
128 		 0.0002112586722499255 		 1.8845283103829678 
256 		 6.677313797630817e-05 		 1.6616708199979011 
512 		 1.810670480664195e-05 		 1.8827438229288973 

randomized dictionary size: 256
neuron num 		 error 		 order
4 		 0.281344828189059 		 * 
8 		 0.060153634854551094 		 2.2256156216481724 
16 		 0.012801331917942511 		 2.232357992970711 
32 		 0.0033182163068327113 		 1.9478140832004056 
64 		 0.001081522273906961 		 1.6173445574550387 
128 		 0.0003036678528814737 		 1.8324972838356217 
256 		 4.586445708628696e-05 		 2.7270457216358452 
512 		 1.1612845032467892e-05 		 1.9816551005961869 

randomized dictionary size: 512
neuron num 		 error 		 order
4 		 0.27500494404463893 		 * 
8 		 0.06023462320142841 		 2.190792655895549 
16 		 0.01365948131852201 		 2.140690292397768 
32 		 0.0041783054914129765 		 1.7089128201064376 
64 		 0.0008700675025443802 		 2.2637187378601884 
128 		 0.00019741050141033575 		 2.1399285969159876 
256 		 4.711557767345236e-05 		 2.066922699668202 
512 		 1.179765268489886e-05 		 1.9977042894620014 

randomized dictionary size: 1024
neuron num 		 error 		 order
4 		 0.2828903394111034 		 * 
8 		 0.0594907197351344 		 2.2495063725036784 
16 		 0.013014263964627432 		 2.19257091160063 
32 		 0.003234019083121334 		 2.0086936239907485 
64 		 0.000846913090022336 		 1.9330423584960814 
128 		 0.00022097563376468368 		 1.9383266309163585 
256 		 4.750439486766988e-05 		 2.21775440166772 
512 		 2.794820270436862e-05 		 0.7653054814225597 


randomized dictionary size: 1024
neuron num 		 error 		 order
4 		 0.282569170380682 		 * 
8 		 0.05915292951276671 		 2.2560825454359548 
16 		 0.012447562438149517 		 2.248586366809814 
32 		 0.0031363796673934603 		 1.988691134773141 
64 		 0.0007608315246614341 		 2.0434512823572204 
128 		 0.0001928171538999386 		 1.9803436187041585 
256 		 4.919159070711749e-05 		 1.9707497927388782 
512 		 1.4801849514485763e-05 		 1.732634254062964 

