
deterministic dictionary size: 16384
neuron num 		 error 		 order
4 		 0.5428645693206433 		 * 
8 		 0.1342072797393048 		 2.016129398735276 
16 		 0.03325817111899048 		 2.0126821875526866 
32 		 0.008386840879947278 		 1.9875094466089411 
64 		 0.002102340093874151 		 1.9961314128682297 
128 		 0.0005253282676366667 		 2.000704949448951 
256 		 0.00013133401154577853 		 1.9999786381430533 
512 		 3.312387187623521e-05 		 1.987297353496987 


deterministic dictionary size: 1024
neuron num 		 error 		 order
4 		 0.5422904132143145 		 * 
8 		 0.13425086655278706 		 2.0141342657036505 
16 		 0.03326668734734703 		 2.0127812836194536 
32 		 0.008398999679070358 		 1.9857887934679181 
64 		 0.0020988471140466515 		 2.0006204326569414 
128 		 0.0005325026399970237 		 1.9787364975332176 
256 		 0.00013994387494028048 		 1.9279403333737017 
512 		 4.104366737289678e-05 		 1.769616793575378 

deterministic dictionary size: 4096
neuron num 		 error 		 order
4 		 0.5427403976004905 		 * 
8 		 0.13417755456396144 		 2.0161189408908062 
16 		 0.03324809898188422 		 2.012799595909916 
32 		 0.008385472573636397 		 1.987307858314261 
64 		 0.0021028062587518806 		 1.99557615689848 
128 		 0.0005263711001685321 		 1.9981637472768305 
256 		 0.00013188436204656493 		 1.9968067719144809 
512 		 3.3387880521869905e-05 		 1.9818770912639323 

deterministic dictionary size: 16384
neuron num 		 error 		 order
4 		 0.5428645693206433 		 * 
8 		 0.1342072797393048 		 2.016129398735276 
16 		 0.03325817111899048 		 2.0126821875526866 
32 		 0.008386840879947278 		 1.9875094466089411 
64 		 0.002102340093874151 		 1.9961314128682297 
128 		 0.0005253282676366667 		 2.000704949448951 
256 		 0.00013133401154577853 		 1.9999786381430533 
512 		 3.312387187623521e-05 		 1.987297353496987 

