
randomized dictionary size: 64
neuron num 		 error 		 order
4 		 0.11297519020550487 		 * 
8 		 0.024769235407693626 		 2.189384745570253 
16 		 0.007013599865192288 		 1.8203223047944443 
32 		 0.001714053141348417 		 2.032743286859879 
64 		 0.0003586634325154908 		 2.2567092703715725 
128 		 0.00015598785260939247 		 1.2011969779074574 
256 		 3.0530785641649414e-05 		 2.3530970654238836 
512 		 1.0061190092179638e-05 		 1.601463749522553 

randomized dictionary size: 128
neuron num 		 error 		 order
4 		 0.11003254221368568 		 * 
8 		 0.02485515102642596 		 2.146313490473347 
16 		 0.007880138115430405 		 1.657252048323577 
32 		 0.0014933487247691811 		 2.3996698150609794 
64 		 0.0006356367844340569 		 1.2322765797243718 
128 		 7.862018315356544e-05 		 3.015230986386266 
256 		 2.071855712567379e-05 		 1.9239761897959609 
512 		 9.614103650859698e-06 		 1.1076992723232502 

randomized dictionary size: 256
neuron num 		 error 		 order
4 		 0.11294796693348069 		 * 
8 		 0.02639382740961634 		 2.097385824034407 
16 		 0.007223176953914442 		 1.86949515409446 
32 		 0.0013250835726784373 		 2.4465501611113853 
64 		 0.0003079259382404255 		 2.105428049453938 
128 		 8.872461780639912e-05 		 1.795177038578897 
256 		 3.585464436682041e-05 		 1.3071744467536501 
512 		 5.817083780511229e-06 		 2.6237920201028535 

randomized dictionary size: 512
neuron num 		 error 		 order
4 		 0.11218122092473612 		 * 
8 		 0.024253812574341855 		 2.2095477353303776 
16 		 0.00549303886895994 		 2.142535143779382 
32 		 0.001475147566185491 		 1.8967452189645841 
64 		 0.0005163613373635832 		 1.5144063937116803 
128 		 0.00010373735962571365 		 2.3154454275729837 
256 		 2.2006537038021284e-05 		 2.2369315102594474 
512 		 6.799361982766644e-06 		 1.6944608569975217 

randomized dictionary size: 1024
neuron num 		 error 		 order
4 		 0.11181136980359527 		 * 
8 		 0.02441316313813347 		 2.195335761615802 
16 		 0.005628201757300227 		 2.116913281058514 
32 		 0.0018169911984768298 		 1.6311226154384444 
64 		 0.00031914197777827507 		 2.5092811425963655 
128 		 0.00010407261277550018 		 1.6166079172279797 
256 		 1.842352782643259e-05 		 2.497969218987371 
512 		 4.973424354633283e-06 		 1.8892379034756377 

