
randomized dictionary size: 64
neuron num 		 error 		 order
4 		 0.4323624744642331 		 * 
8 		 0.41850667978106054 		 0.04699066454437979 
16 		 0.2721871410097022 		 0.6206517388728784 
32 		 0.12497197090131265 		 1.122994351849152 
64 		 0.039953563925301645 		 1.6452084542415766 
128 		 0.013894794798560617 		 1.5237796710721636 
256 		 0.009755854291015107 		 0.510204412679257 
512 		 0.009134380265815416 		 0.09496136025248039 

randomized dictionary size: 256
neuron num 		 error 		 order
4 		 0.4317292327780063 		 * 
8 		 0.3971883333418803 		 0.12030353525371726 
16 		 0.29343772096480025 		 0.4367689078963565 
32 		 0.11771625774781111 		 1.3177407549437026 
64 		 0.034169098357179524 		 1.784549500178503 
128 		 0.012851206136920049 		 1.4107884104581376 
256 		 0.009474130989945873 		 0.43983824448918574 
512 		 0.009127085165126203 		 0.053839425590565954 

randomized dictionary size: 1024
neuron num 		 error 		 order
4 		 0.4318588069610434 		 * 
8 		 0.3870076024439279 		 0.15819780381993176 
16 		 0.2671937919850041 		 0.5344754187587926 
32 		 0.07506796099112448 		 1.8316172865281326 
64 		 0.035116911267088345 		 1.0960313396132673 
128 		 0.012715835181816298 		 1.4655397351808603 
256 		 0.009500063086678973 		 0.42061722297019394 
512 		 0.009067443177057717 		 0.0672412946336458 


randomized dictionary size: 64
neuron num 		 error 		 order
4 		 0.4277728129841771 		 * 
8 		 0.28622000136192277 		 0.579720302550458 
16 		 0.12347386982351613 		 1.2129187291168237 
32 		 0.035149446629016694 		 1.8126318818560367 
64 		 0.00917629012334177 		 1.9375190662465398 
128 		 0.003551619093437751 		 1.369434142421645 
256 		 0.002686267343486002 		 0.4028739705747932 
512 		 0.0026052347809197227 		 0.044189499761730845 

randomized dictionary size: 256
neuron num 		 error 		 order
4 		 0.4272336720394586 		 * 
8 		 0.28991035568256573 		 0.5594184884169182 
16 		 0.10697148904891789 		 1.438380539300687 
32 		 0.03733605046269456 		 1.518585101059419 
64 		 0.008379927141917718 		 2.1555597165497833 
128 		 0.0035786528668303977 		 1.227521093099191 
256 		 0.0026802835596831855 		 0.41703096938743095 
512 		 0.002601129721253507 		 0.04324728829296927 

randomized dictionary size: 1024
neuron num 		 error 		 order
4 		 0.42714837187446003 		 * 
8 		 0.28960762411378876 		 0.5606377005677725 
16 		 0.10787186813255155 		 1.4247809088970245 
32 		 0.03821188437570517 		 1.4972253645021065 
64 		 0.0073624715347131425 		 2.3757593480969996 
128 		 0.0033865540667772755 		 1.120372122352625 
256 		 0.002662222907964451 		 0.34718665557093 
512 		 0.0026006692004099724 		 0.03374846997431978 


randomized dictionary size: 1024
neuron num 		 error 		 order
4 		 0.4273065939872158 		 * 
8 		 0.28814309049708636 		 0.5684861550024988 
16 		 0.10599406853586385 		 1.4428018918134156 
32 		 0.03894438144759821 		 1.4444964242654081 
64 		 0.00800909509501576 		 2.281704049435989 
128 		 0.0034889770895450926 		 1.198835125344851 
256 		 0.002652411712577416 		 0.3954993932684524 
512 		 0.002597248908799773 		 0.030320448675105853 

randomized dictionary size: 4096
neuron num 		 error 		 order
4 		 0.42720500353704155 		 * 
8 		 0.2890487029696132 		 0.5636159456941142 
16 		 0.1075790823217919 		 1.4259150111331418 
32 		 0.040084093288019436 		 1.4242958419181106 
64 		 0.007400793594089133 		 2.4372779547876378 
128 		 0.003363028044191504 		 1.1379191710828442 
256 		 0.0026408213135296846 		 0.34877412208876535 
512 		 0.002597434028269617 		 0.02389958055796664 

randomized dictionary size: 28
neuron num 		 error 		 order
4 		 0.43159881598379024 		 * 
8 		 0.3299731831071444 		 0.38734212551820923 
16 		 0.14741321343421288 		 1.1624829348340697 
32 		 0.04084724542318204 		 1.8515551495851001 
64 		 0.011356707474621001 		 1.8466941612532024 
128 		 0.003926271035855521 		 1.5323129581807704 
256 		 0.00268469844807762 		 0.5483997171910467 
512 		 0.002599219323391602 		 0.04668167600482955 


randomized dictionary size: 1024
neuron num 		 error 		 order
4 		 0.42723359568414926 		 * 
8 		 0.2892182337214379 		 0.5628665887308943 
16 		 0.10796069552227729 		 1.4216523333387416 
32 		 0.03740613642242583 		 1.529159309646846 
64 		 0.007811047223273487 		 2.259687073692684 
128 		 0.0023164124365580665 		 1.7536238351228723 
256 		 0.0005532349211537317 		 2.0659280177246 
512 		 0.0001389195142697831 		 1.993642953313796 

randomized dictionary size: 4096
neuron num 		 error 		 order
4 		 0.42715430234435336 		 * 
8 		 0.2888299891668988 		 0.5645367686661193 
16 		 0.10761365124342631 		 1.4243594433483162 
32 		 0.03802505913206066 		 1.5008387048535379 
64 		 0.007539980263478299 		 2.3343178392217054 
128 		 0.0021569378080673923 		 1.8055761678853262 
256 		 0.0005357285781876471 		 2.0094104161323774 
512 		 0.0001368380583193351 		 1.969032719932207 

randomized dictionary size: 28
neuron num 		 error 		 order
4 		 0.4256426279045157 		 * 
8 		 0.2934556427198005 		 0.5365001940065406 
16 		 0.17619828924147146 		 0.7359425324865386 
32 		 0.04099178504597009 		 2.1037931961218 
64 		 0.010009520771280823 		 2.0339619120618866 
128 		 0.0027768720660872556 		 1.8498402864350458 
256 		 0.0007034330693491683 		 1.9809756472181004 
512 		 0.00016475228302765326 		 2.0941147023404625 


randomized dictionary size: 64
neuron num 		 error 		 order
4 		 0.42740030731700335 		 * 
8 		 0.2794349061630287 		 0.6130756962465179 
16 		 0.12751105252758937 		 1.131889945269562 
32 		 0.046279311611737095 		 1.462182993691186 
