
deterministic dictionary size: 1024
neuron num 		 error 		 order
4 		 0.4270732925144814 		 * 
8 		 0.2883237685610959 		 0.5667939070628573 
16 		 0.09532633563262122 		 1.5967430282214408 
32 		 0.03719867725841329 		 1.3576235182332466 
64 		 0.007896460277749408 		 2.235973330904506 
128 		 0.0027719643528024687 		 1.5102973810012585 
256 		 0.001187643308518027 		 1.2228070960604631 
512 		 0.00105698391808788 		 0.1681481821965957 

deterministic dictionary size: 4096
neuron num 		 error 		 order
4 		 0.42695832760085983 		 * 
8 		 0.28804329097988857 		 0.5678096100246556 
16 		 0.09403803641750172 		 1.6149693354795878 
32 		 0.03728922890957283 		 1.334485450332181 
64 		 0.007985789302027717 		 2.2232520510971483 
128 		 0.002611119886931872 		 1.61276630918635 
256 		 0.0010492946781876708 		 1.3152488056424332 
512 		 0.0005510967869289279 		 0.9290422724817989 

deterministic dictionary size: 16384
neuron num 		 error 		 order
4 		 0.42696998366936784 		 * 
8 		 0.28818684316096294 		 0.567130178365332 
16 		 0.09449988849990398 		 1.6086199402160744 
32 		 0.037293284700272114 		 1.3413967553851929 
64 		 0.008006914155527815 		 2.2195976278781293 
128 		 0.0026051684079969246 		 1.6198697019135098 
256 		 0.0010179311603474375 		 1.3557366372704929 
512 		 0.0004108402435705003 		 1.308990587663265 


deterministic dictionary size: 1024
neuron num 		 error 		 order
4 		 0.42692377913336543 		 * 
8 		 0.28885488875357557 		 0.5636336092544552 
16 		 0.09447088560996743 		 1.6124032241188508 
32 		 0.0372337570770908 		 1.3432585838253612 
64 		 0.007749266545188195 		 2.2644795255195147 
128 		 0.0023545396587919517 		 1.7186147452935256 
256 		 0.000562524665523956 		 2.065456760965526 
512 		 0.0001639849029815021 		 1.7783533554096673 

deterministic dictionary size: 4096
neuron num 		 error 		 order
4 		 0.42696269243604584 		 * 
8 		 0.28828605854494127 		 0.5666089440524271 
16 		 0.09415401634499561 		 1.6144065275120438 
32 		 0.03784646216772874 		 1.3148641919782749 
64 		 0.00796709799450605 		 2.2480322203338425 
128 		 0.002450778561431288 		 1.7008141837494626 
256 		 0.0007011008239413658 		 1.8055463008560642 
512 		 0.00013010084462189447 		 2.4299916021716195 

deterministic dictionary size: 16384
neuron num 		 error 		 order
4 		 0.4269606334106141 		 * 
8 		 0.2881519573136434 		 0.5672732372560015 
16 		 0.09443900061730513 		 1.6093751397564653 
32 		 0.03728669225821316 		 1.3407219548128295 
64 		 0.008001852813798371 		 2.220254822703841 
128 		 0.0025613136410397 		 1.6434501656027574 
256 		 0.0009154392615707114 		 1.4843478533538423 
512 		 0.0001660672791276742 		 2.462696326334814 


deterministic dictionary size: 1024
neuron num 		 error 		 order
4 		 0.42692377913336543 		 * 
8 		 0.28885488875357557 		 0.5636336092544552 
16 		 0.09447088560996743 		 1.6124032241188508 
32 		 0.0372337570770908 		 1.3432585838253612 
64 		 0.007749266545188195 		 2.2644795255195147 
128 		 0.0023545396587919517 		 1.7186147452935256 
256 		 0.000562524665523956 		 2.065456760965526 
512 		 0.0001639849029815021 		 1.7783533554096673 

deterministic dictionary size: 4096
neuron num 		 error 		 order
4 		 0.42696269243604584 		 * 
8 		 0.28828605854494127 		 0.5666089440524271 
16 		 0.09415401634499561 		 1.6144065275120438 
32 		 0.03784646216772874 		 1.3148641919782749 
64 		 0.00796709799450605 		 2.2480322203338425 
128 		 0.002450778561431288 		 1.7008141837494626 
256 		 0.0007011008239413658 		 1.8055463008560642 
512 		 0.00013010084462189447 		 2.4299916021716195 

deterministic dictionary size: 16384
neuron num 		 error 		 order
4 		 0.4269606334106141 		 * 
8 		 0.2881519573136434 		 0.5672732372560015 
16 		 0.09443900061730513 		 1.6093751397564653 
32 		 0.03728669225821316 		 1.3407219548128295 
64 		 0.008001852813798371 		 2.220254822703841 
128 		 0.0025613136410397 		 1.6434501656027574 
256 		 0.0009154392615707114 		 1.4843478533538423 
512 		 0.0001660672791276742 		 2.462696326334814 


deterministic dictionary size: 1024
neuron num 		 error 		 order
4 		 0.427085568635989 		 * 
