
deterministic dictionary size: 1024
neuron num 		 error 		 order
4 		 0.11185235283786851 		 * 
8 		 0.02349629532250688 		 2.251090395024323 
16 		 0.004958691961247254 		 2.244401792341413 
32 		 0.0011977017597575993 		 2.0496908998000163 
64 		 0.00030602071498012345 		 1.9685674872922296 
128 		 7.319610510385429e-05 		 2.0637905270437584 
256 		 1.8636015967503604e-05 		 1.9736734104854217 
512 		 4.813200790647705e-06 		 1.9530249575880765 

deterministic dictionary size: 4096
neuron num 		 error 		 order
4 		 0.11245543596092113 		 * 
8 		 0.02353711595108792 		 2.2563439408797765 
16 		 0.004933253207928182 		 2.2543263117423287 
32 		 0.0011964490325914094 		 2.043780397133622 
64 		 0.0003021004812748483 		 1.9856585534375806 
128 		 7.266971581597882e-05 		 2.0556023128120358 
256 		 1.795644540645882e-05 		 2.0168524768878866 
512 		 4.484211715130775e-06 		 2.001575488123504 

deterministic dictionary size: 16384
neuron num 		 error 		 order
4 		 0.11236639829524041 		 * 
8 		 0.02352871159437586 		 2.2557164534400322 
16 		 0.004935090863623142 		 2.2532737698083682 
32 		 0.0011975800743854903 		 2.0429545246414915 
64 		 0.00030777937006103265 		 1.9601536842427578 
128 		 7.278452504229165e-05 		 2.0801928814657193 
256 		 1.790498558834308e-05 		 2.023270389441856 
512 		 4.466128336699045e-06 		 2.0032647439203144 

