

deterministic dictionary size: 1024
neuron num 		 error 		 order
4 		 0.1878254282111389 		 * 
8 		 0.18588025992445822 		 0.015018824030922228 
16 		 0.18546144601577377 		 0.003254258789913193 
32 		 0.18362713428079108 		 0.014340049369212201 
64 		 0.18121321315813704 		 0.019091105884754028 
128 		 0.18035061205704186 		 0.0068838340847692265 
256 		 0.18022703742989987 		 0.0009888605629934212 
512 		 0.18022703742989987 		 0.0 

deterministic dictionary size: 4096
neuron num 		 error 		 order
4 		 0.18676357809295757 		 * 
8 		 0.17429207118401974 		 0.09970619317187736 
16 		 0.13720770839630225 		 0.34514540542482736 
32 		 0.11845464676417021 		 0.21202674106475156 
64 		 0.06757467581814051 		 0.8097802033142346 
128 		 0.05024533391831537 		 0.42749306037298423 
256 		 0.04963082304661286 		 0.017753245649296683 
512 		 0.049589183298567 		 0.0012109142853189982 

deterministic dictionary size: 16384
neuron num 		 error 		 order
4 		 0.18593198447856385 		 * 
8 		 0.16281163147978384 		 0.19157119622396382 
16 		 0.15241312764309778 		 0.09521660099057244 
32 		 0.12363459926508029 		 0.30190463096784487 
64 		 0.06885179350820585 		 0.8445163989120602 
128 		 0.02471192840789201 		 1.478286638857668 
256 		 0.010778864834509308 		 1.1970023464114805 
512 		 0.0066656455383863515 		 0.6933887442410243 






















