
dictionary size: 64
neuron num 		 error 		 order
4 		 0.2249970546416382 		 * 
8 		 0.06493393366821774 		 1.7928616008102 
16 		 0.02699744642626724 		 1.2661496544869908 
32 		 0.008785824794015153 		 1.6195733205770684 
64 		 0.0040114867666210235 		 1.131040691646048 
128 		 0.0017196516620627553 		 1.2220206802296798 
256 		 0.000695915809838545 		 1.3051316696803565 
512 		 0.00025821009099159846 		 1.4303673999193462 

dictionary size: 128
neuron num 		 error 		 order
4 		 0.21995199557545053 		 * 
8 		 0.057107359398148975 		 1.945440108455292 
16 		 0.02606954999771395 		 1.131310997134323 
32 		 0.010578105857862166 		 1.301284361866441 
64 		 0.004614096648751786 		 1.1969611892601595 
128 		 0.001579600925509778 		 1.546488105410703 
256 		 0.0006110726713192381 		 1.370144251514924 
512 		 0.00024410648737385312 		 1.3238333248872935 

dictionary size: 256
neuron num 		 error 		 order
4 		 0.19951135823782815 		 * 
8 		 0.05315438903369605 		 1.9082101546465842 
16 		 0.024152086344191963 		 1.1380410024244767 
32 		 0.009373737122260636 		 1.3654515781807668 
64 		 0.003944731813050487 		 1.2486971159868012 
128 		 0.001518786032537454 		 1.3770085839205886 
256 		 0.0005629909453993626 		 1.4317350117400922 
512 		 0.0002324509020245658 		 1.2761856953448614 

dictionary size: 512
neuron num 		 error 		 order
4 		 0.2101623083451627 		 * 
8 		 0.04260676283724141 		 2.3023496035222295 
16 		 0.021636395021384012 		 0.97762230055648 
32 		 0.008023660371244907 		 1.4311276971357985 
64 		 0.003436993432978531 		 1.223113445087824 
128 		 0.0013477269230528287 		 1.3506188884660109 
256 		 0.0005389172215431158 		 1.3223926116233036 
512 		 0.00021632887021191103 		 1.3168374766722548 

dictionary size: 1024
neuron num 		 error 		 order
4 		 0.21596521930411205 		 * 
8 		 0.038514730005847354 		 2.487316771467433 
16 		 0.020556663235935205 		 0.9058042070161544 
32 		 0.00695907663142605 		 1.5626383056514048 
64 		 0.0033736315851252982 		 1.04459346024604 
128 		 0.001256098140467671 		 1.4253532456687161 
256 		 0.0004982262342988899 		 1.3340762937746191 
512 		 0.00019272786921278583 		 1.3702357831228742 

