


deterministic dictionary size: 4096
neuron num 		 error 		 order
4 		 0.20590884488828112 		 * 
8 		 0.10962137147159573 		 0.9094767133325474 
16 		 0.06156094339869737 		 0.8324418437352863 
32 		 0.034825799680043186 		 0.8218588598176927 
64 		 0.01841069265137026 		 0.919612575667979 
128 		 0.010747693555867228 		 0.7765168129800217 
256 		 0.007231509586639084 		 0.5716583440224552 
512 		 0.005726042841233835 		 0.33675837863757824 


deterministic dictionary size: 4096
neuron num 		 error 		 order
4 		 0.20590884488828112 		 * 
8 		 0.10962137147159573 		 0.9094767133325474 
16 		 0.06156094339869737 		 0.8324418437352863 
32 		 0.034825799680043186 		 0.8218588598176927 
64 		 0.01841069265137026 		 0.919612575667979 
128 		 0.010747693555867228 		 0.7765168129800217 
256 		 0.007231509586639084 		 0.5716583440224552 
512 		 0.005726042841233835 		 0.33675837863757824 

deterministic dictionary size: 2048
neuron num 		 error 		 order
4 		 0.2153131791294169 		 * 
8 		 0.09892574819565456 		 1.1220186515469677 
16 		 0.05882884715935107 		 0.7498223069099612 
32 		 0.030036168053070984 		 0.9698229959312553 
64 		 0.018767715987203275 		 0.6784476825283932 
128 		 0.013493443207219678 		 0.4759945493869621 
256 		 0.011627982790450958 		 0.21465769549713767 
512 		 0.011523888157428573 		 0.012973277465251955 

deterministic dictionary size: 1024
neuron num 		 error 		 order
4 		 0.21361490480017628 		 * 
8 		 0.10072395867175638 		 1.0846054230169364 
16 		 0.061836310668256685 		 0.7038807387357735 
32 		 0.03647744523008601 		 0.7614495554596934 
64 		 0.023094576671194432 		 0.6594505895411088 
128 		 0.018360195930152604 		 0.3309726470027293 
256 		 0.01807473507263115 		 0.02260695322761696 
512 		 0.018074735072631153 		 -3.2034265038149186e-16 

