ReLU k = 4, Numerical Integration MC points: 524288 
ReLU k = 4, Numerical Integration MC points: 524288 
ReLU k = 4, Numerical Integration MC points: 524288 
dictionary size: 1024
neuron num 		 error 		 order -1.62 		 h10 error 		 order -1.38 
4 		 0.16224483155512437 		 * 		 1.0418831464270097 		 * 
8 		 0.10831394449844253 		 0.5829535310884468 		 0.7401209660124062 		 0.49336048915496555 
16 		 0.07134013556099447 		 0.6024331272716307 		 0.596718624499415 		 0.3107102790307059 
32 		 0.03687428990605506 		 0.9520986897997306 		 0.33509932492971367 		 0.8324620261291573 
64 		 0.010373282962573865 		 1.8297427132687498 		 0.12672812399160635 		 1.402852051751068 
128 		 0.004489108749768109 		 1.2083716027243556 		 0.059315381543986766 		 1.0952585532895815 
256 		 0.0007315231085040212 		 2.6174537020011663 		 0.012134636044581407 		 2.289275431794762 
512 		 0.000152050472941813 		 2.266353135434145 		 0.0032106900638105376 		 1.9181755284074131 
1024 		 0.00014064415690331184 		 0.11250068700131695 		 0.0039529617078818725 		 -0.3000505752059626 

dictionary size: 1024
neuron num 		 error 		 order -1.62 		 h10 error 		 order -1.38 
4 		 0.15998213220520768 		 * 		 1.0172591551190573 		 * 
8 		 0.11165944982829198 		 0.5188054322385071 		 0.661622652363102 		 0.6206067295585057 
16 		 0.07100781197767507 		 0.6530556951211246 		 0.6113451200926245 		 0.11402158116412568 
32 		 0.043634837120669866 		 0.702497340621901 		 0.3930688973040926 		 0.6372048376630216 
64 		 0.010604867051012096 		 2.040753877413887 		 0.12944678166207732 		 1.6024231138818241 
128 		 0.004810815291933243 		 1.1403732202140509 		 0.06316571448514464 		 1.035145496880677 
256 		 0.0007931823532719103 		 2.6005569232186496 		 0.012556120972021113 		 2.3307508612959746 
512 		 0.00014960512614237606 		 2.406492971558738 		 0.003113456554467016 		 2.011801780818691 
1024 		 0.00015729023155599997 		 -0.07226946629111103 		 0.004751085692889217 		 -0.6097400803097922 

dictionary size: 1024
neuron num 		 error 		 order -1.62 		 h10 error 		 order -1.38 
4 		 0.19117615862239423 		 * 		 1.0263205936956556 		 * 
8 		 0.11160438443034791 		 0.7765089123270019 		 0.6581494260271555 		 0.6409943834462759 
16 		 0.06883120285109777 		 0.6972590783059238 		 0.5859889743008083 		 0.16754165033637283 
32 		 0.036989194367906215 		 0.8959588431941992 		 0.34517522768648606 		 0.7635445899929838 
64 		 0.010698409749205749 		 1.7897075135258187 		 0.13064855678185971 		 1.4016377419057788 
128 		 0.004294051172347465 		 1.3169850760345971 		 0.056340762097443604 		 1.2134402042398083 
256 		 0.0006943290532851792 		 2.6286479384538732 		 0.011405955755213037 		 2.3043917370850644 
512 		 0.00014522280535088814 		 2.2573515127785773 		 0.0030823094446725324 		 1.8877037296462187 
1024 		 0.00013571587748705942 		 0.09767851515437137 		 0.003662156961602169 		 -0.2486819202613659 

dictionary size: 1024
neuron num 		 error 		 order -1.62 		 h10 error 		 order -1.38 
4 		 0.16226490105083327 		 * 		 0.9685685491939587 		 * 
8 		 0.11025124452417256 		 0.5575560282267483 		 0.6836524739321491 		 0.5025910216133294 
16 		 0.06724075136102392 		 0.7133871903953736 		 0.5534599640126912 		 0.3047841760878447 
32 		 0.04505973069697936 		 0.5774971543957838 		 0.3996315033555105 		 0.46980864290544727 
64 		 0.01133073158836142 		 1.9915976769424606 		 0.13535714717236852 		 1.5618992495024924 
128 		 0.004724724674564723 		 1.2619388480233265 		 0.06215822226075031 		 1.1227539191766451 
256 		 0.0007521796094503506 		 2.651081158588133 		 0.01256440820216017 		 2.306602522680023 
512 		 0.00014706606691024818 		 2.3546127907358785 		 0.003086975458692512 		 2.0250768014957807 
1024 		 0.00015918893653810512 		 -0.11427566688983827 		 0.004775167270407858 		 -0.629357256880521 

dictionary size: 1024
neuron num 		 error 		 order -1.62 		 h10 error 		 order -1.38 
4 		 0.16266288605191884 		 * 		 0.9758315682568369 		 * 
8 		 0.10092685244843186 		 0.6885750494886357 		 0.6882534182162083 		 0.5036922853642654 
16 		 0.0674062817780304 		 0.5823551152845378 		 0.579912263944872 		 0.24710522138638652 
32 		 0.03986670478083932 		 0.757698683440331 		 0.35322698189269136 		 0.7152390984990941 
64 		 0.010682731183075797 		 1.8999038245150217 		 0.1292323217927228 		 1.4506286081096993 
128 		 0.0045962239561665695 		 1.2167595367192212 		 0.060711231293977236 		 1.0899316038783413 
256 		 0.0006896616589007286 		 2.736488427801813 		 0.01161605996013928 		 2.3858426275955282 
512 		 0.00015189792349613336 		 2.1827866159451927 		 0.0031985863125530783 		 1.860614485972274 
1024 		 0.00021170171879266884 		 -0.4789308347706793 		 0.006409329160237129 		 -1.0027389490915668 

