relu k = 3, Integration points: Nx 50, order 2 
dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.354548278868228 		 * 		 3.8462037724828435 		 * 
8 		 0.44800112207169723 		 -0.33752025294389804 		 3.845831521398543 		 0.00013963659114583183 
16 		 0.3990267539915326 		 0.16701686601445506 		 3.8156153119143643 		 0.01137983531056681 
32 		 4.7530795489782784 		 -3.5743051624376405 		 4.355230140055106 		 -0.19083322904389313 
64 		 1.111338239564508 		 2.096564574532128 		 1.8476181089303778 		 1.237082364500687 
128 		 0.10756024100022532 		 3.369081174738899 		 0.5322932750339754 		 1.795373346999282 
256 		 0.01091049076071377 		 3.3013569912786243 		 0.15349487650352356 		 1.794030838677135 
512 		 0.002079169228306956 		 2.3916369041335526 		 0.05473931847332835 		 1.4875411229759 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.35365020145997406 		 * 		 3.847075147057867 		 * 
8 		 0.44016877348715766 		 -0.3157337178449608 		 3.849965126664608 		 -0.0010833669292532975 
16 		 0.6375221399681381 		 -0.5344186439871199 		 3.8668420654114306 		 -0.006310463394978056 
32 		 6.84505611942903 		 -3.4245150194246494 		 5.381413837495712 		 -0.4768294149244585 
64 		 1.1932511812268838 		 2.5201646049688446 		 1.6581093883787097 		 1.698446069032402 
128 		 0.05992865064794239 		 4.315508063735493 		 0.5449671922435664 		 1.605297901651902 
256 		 0.0060308908981605005 		 3.3128028491170056 		 0.16175587990777682 		 1.7523512244629331 
512 		 0.0015683656441172103 		 1.9431091920457049 		 0.05136108514937964 		 1.6550705669215393 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 2.0043242418473404 		 * 		 3.973670063492126 		 * 
8 		 0.41207961035976065 		 2.2821209277030907 		 3.8565804206194385 		 0.043149894135024076 
16 		 0.4909293673387758 		 -0.2525923900982715 		 3.8361387283751585 		 0.0076673012158175735 
32 		 4.2862845113530605 		 -3.126140238928157 		 4.008931208229857 		 -0.06356276732383051 
64 		 1.0874570439697413 		 1.978769201505722 		 1.7699890736805066 		 1.1794772071551187 
128 		 0.08472363685393532 		 3.682050083540289 		 0.5979374597228249 		 1.5656739533039161 
256 		 0.00781962014562722 		 3.437594087483676 		 0.17211176412193496 		 1.7966488846930868 
512 		 0.0014058338588738614 		 2.4756724201993174 		 0.04916274912016355 		 1.807708214523073 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.35410174702385794 		 * 		 3.847161975491835 		 * 
8 		 0.387020658376626 		 -0.12824661501730478 		 3.850870082031325 		 -0.0013898792027355281 
16 		 2.4703306737529465 		 -2.6742216894745474 		 4.086656664766141 		 -0.08573659095379445 
32 		 4.032751341020674 		 -0.7070602809344434 		 4.422356103027105 		 -0.11389415823079743 
64 		 1.137568887776185 		 1.8258105388155867 		 1.7973823230058033 		 1.2989178818945368 
128 		 0.05814447862027674 		 4.290167902659622 		 0.529207290941359 		 1.7639924755881518 
256 		 0.011420420006711958 		 2.34802649096718 		 0.15441278493806268 		 1.7770407293214074 
512 		 0.0015584902422227606 		 2.873394682083966 		 0.04809361870337448 		 1.6828748206148252 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.35444363521326344 		 * 		 3.8468589159749085 		 * 
8 		 0.49162352659179376 		 -0.47199773376278203 		 3.850398755719609 		 -0.0013269426133479315 
16 		 0.605276476371824 		 -0.300040325467617 		 3.8491975074074705 		 0.0004501625637588788 
32 		 4.654710775111625 		 -2.9430253393770127 		 4.638181940093852 		 -0.269001713475056 
64 		 1.329386998533357 		 1.8079303778855482 		 1.9432440031757976 		 1.2550923490018608 
128 		 0.10698081537460086 		 3.635337139727198 		 0.5079217920884221 		 1.9357887857240093 
256 		 0.021308154903712163 		 2.327874525502531 		 0.18637870146958743 		 1.4463693686440626 
512 		 0.0021613366362437285 		 3.3014099740520266 		 0.04921321292834085 		 1.9211193923450933 

