RELU k = 3, Integration points: Nx 16384, order 3 
dictionary size: 512
neuron num 		 error 		 order -4.00 		 h10 error 		 order -3.00 
4 		 0.36486082937892195 		 * 		 9.32201477056071 		 * 
8 		 0.29652828551550064 		 0.29917654633829593 		 7.389194530778349 		 0.3352246887996488 
16 		 0.013376620903131417 		 4.470384103639766 		 0.7231196083260496 		 3.353110907551937 
32 		 0.0005698022467055446 		 4.553108599335112 		 0.06772203429087424 		 3.416537081465752 
64 		 2.1222691176673137e-05 		 4.746781793981841 		 0.005943902079818182 		 3.5101430566152354 
128 		 1.0132304374184231e-06 		 4.388573384610852 		 0.0006023672508544762 		 3.3026951073658752 
256 		 6.662120124736983e-08 		 3.9268371436220217 		 7.869898115682703e-05 		 2.9362264728300698 

dictionary size: 512
neuron num 		 error 		 order -4.00 		 h10 error 		 order -3.00 
4 		 0.3648558298570615 		 * 		 9.322048212396275 		 * 
8 		 0.2970841247160188 		 0.2964549921390938 		 7.370341619765821 		 0.33891548367070146 
16 		 0.013443850514790624 		 4.465853202631604 		 0.7246378905609235 		 3.3463993407547905 
32 		 0.0005637858004129037 		 4.575655453521358 		 0.0620922664451776 		 3.5447747468464246 
64 		 2.795227108105253e-05 		 4.334109732648637 		 0.007611352462294225 		 3.028188858520816 
128 		 1.3494561150012306e-06 		 4.372515539183683 		 0.0007074975741807612 		 3.4273557227411406 
256 		 7.992229992433675e-08 		 4.077636149997804 		 9.140160072069644e-05 		 2.9524338647331043 

dictionary size: 512
neuron num 		 error 		 order -4.00 		 h10 error 		 order -3.00 
4 		 0.3648449980693897 		 * 		 9.322037470345666 		 * 
8 		 0.3046270703312539 		 0.2602395239762053 		 7.472894165116635 		 0.3189782215933579 
16 		 0.020320564746523107 		 3.9060317479682305 		 0.9962742222011659 		 2.907052289695469 
32 		 0.00041108898291633745 		 5.6273459790895135 		 0.05160952374800428 		 4.270833672838691 
64 		 2.301244944440623e-05 		 4.158964251284391 		 0.006193917333757556 		 3.0587132839846203 
128 		 1.1136032792138614e-06 		 4.369107282446052 		 0.0006637724536037664 		 3.22209146413958 
256 		 8.510225505450473e-08 		 3.7098941931621963 		 9.372245226002783e-05 		 2.8242221510543533 

dictionary size: 512
neuron num 		 error 		 order -4.00 		 h10 error 		 order -3.00 
4 		 0.3648521402496667 		 * 		 9.322073016677866 		 * 
8 		 0.2973469654297506 		 0.2951645643552495 		 7.348540124296657 		 0.34319314334129597 
16 		 0.022460700119784842 		 3.7266725487595864 		 1.1248992577891364 		 2.7076618654368234 
32 		 0.00035084702084590795 		 6.000416976208705 		 0.048480674514811764 		 4.536242222803658 
64 		 1.9888328238972346e-05 		 4.140848194882793 		 0.005643569581890171 		 3.1027299040377687 
128 		 1.1349433192983293e-06 		 4.131229857921129 		 0.0006621296566363679 		 3.091422307230592 
256 		 6.913773075862715e-08 		 4.037003186641861 		 8.014244753039843e-05 		 3.0464752746662356 

dictionary size: 512
neuron num 		 error 		 order -4.00 		 h10 error 		 order -3.00 
4 		 0.3648488438934635 		 * 		 9.32209127817258 		 * 
8 		 0.29558698304402053 		 0.30371614427554466 		 7.385827835570446 		 0.33589400567506367 
16 		 0.013945763565440595 		 4.405683905180463 		 0.7564270083717578 		 3.287486852537435 
32 		 0.0004181488140387253 		 5.059666646289419 		 0.05976904890264579 		 3.661730385276941 
64 		 2.1088496738713956e-05 		 4.3094883075798815 		 0.005702391205418925 		 3.3897596634483946 
128 		 1.1644928363812797e-06 		 4.17868258883242 		 0.0006612875209759388 		 3.1082174348250513 
256 		 6.698485617857724e-08 		 4.119722983900694 		 8.11159329716125e-05 		 3.027220452270799 

